,Latitude,Longitude,cord
48,30.6867339,-88.0848929,Mobile
49,39.9527237,-75.1635262,Philadelphia
50,40.2663107,-76.8861122,Harrisburg
51,25.7741728,-80.19362,Miami
52,39.8560679,-4.0239568,Toledo
53,41.4996574,-81.6936772,Cleveland
54,41.764582,-72.6908547,Hartford
55,42.9632405,-85.6678639,Grand Rapids
56,43.2560802,-79.8728583,Hamilton
57,32.7762719,-96.7968559,Dallas
58,33.9405897,-118.2428984,Los Angeles (Watts)
59,37.6390972,-120.9968782,Modesto
60,33.6383552,-95.582343,Lamar
61,36.2005843,-115.121584,North Las Vegas
62,37.8709542,-96.2471338,Greenwood
63,39.957373950000004,26.238017461011644,Troy
64,35.8272257,-90.6949871,Jonesboro
65,47.7333383,-94.548233,Blackduck
66,40.1856597,-75.451571,Collegeville
67,41.9195837,-99.979237,Blaine
68,30.2751945,-89.7811745,Slidell
69,34.769536,-92.2670941,North Little Rock
70,36.724481,-84.47343389023162,Whitley City
71,39.9448402,-75.1198911,Camden
72,43.0349931,-87.922497,Milwaukee
73,39.763823450000004,-84.3463188441966,Dayton (Trotwood)
74,41.1035786,-80.6520161,Youngstown
75,38.5896187,-89.420064,Clinton
76,33.3140311,-82.0967857,Hephzibah
77,32.4640245,-86.4596966,Prattville
78,44.7748748,-117.834384,Baker City
79,33.4933796,-112.358124,Litchfield Park
80,36.4453369,-85.6719207,Whitleyville
81,37.8044557,-122.271356,Oakland
82,32.3669656,-86.3006485,Montgomery
83,40.7215682,-74.047455,Jersey City
84,27.2939333,-80.3503283,Port Saint Lucie
85,34.7351615,-79.3489317,Maxton
86,37.9747645,-87.5558483,Evansville
87,29.18161,-95.4993375,Brazoria
88,26.5256179,-80.0666026,Boynton Beach
89,32.9021377,-80.6672631,Walterboro
90,40.7545006,-86.3567356,Logansport
91,36.1672559,-115.148516,Las Vegas
92,40.851039,-73.84025027765061,Bronx
93,38.8339578,-104.825348,Colorado Springs
94,27.9477595,-82.458444,Tampa
95,49.5344534,-1.529802,Saint Joseph
96,34.0553813,-117.7517496,Pomona
97,32.7884363,-79.9399309,Charleston
98,37.5385087,-77.43428,Richmond
99,40.9999202,-80.3471856,New Castle
100,38.5358851,-90.1737222,East Saint Louis (Cahokia)
101,47.081293,-122.05022714564826,Carbonado
102,36.1000934,-80.2466882503339,Winston Salem (Winston-salem)
103,34.0536909,-118.242766,Los Angeles
104,35.0457219,-85.3094883,Chattanooga
105,43.0161693,-83.6900211,Flint
106,37.5527518,-77.32503610889233,Henrico (Highland Springs)
107,38.9555508,-94.4658557,Kansas City (Raytown)
108,34.449722,-83.099593,Lavonia (Gumlog)
109,41.8755616,-87.6244212,Chicago
110,39.24629755,-84.51356893902641,Cincinnati (Mount Healthy)
111,44.9772995,-93.2654692,Minneapolis
112,32.5973857,-82.3337376,Swainsboro
113,37.9577016,-121.2907796,Stockton
114,41.4828144,-87.3328139,Merrillville
115,4.099917,-72.9088133,Columbia
116,38.8950368,-77.0365427,Washington
117,33.4484367,-112.074141,Phoenix
118,32.051377,-94.7906553,Rusk
119,32.7276779,-79.9556455,Charleston (James Island)
120,34.2157064,-92.0140402,Pine Bluff
121,41.8179303,-88.174097,Warrenville
122,40.3697905,-80.6339638,Steubenville
123,38.99647935,-94.68862895117766,Shawnee (Merriam)
124,32.182598,-95.7893178,Henderson
125,39.3703778,-78.0955563,Gerrardstown
126,43.0481221,-76.1474244,Syracuse
127,29.9413467,-90.0375901,New Orleans (Algiers)
128,34.729847,-86.5859011,Huntsville
129,40.8682487,-88.5631125,Livingston
130,38.9997621,-77.02403709829767,Silver Spring
131,35.996653,-78.9018053,Durham
132,36.0726355,-79.7919754,Greensboro
133,38.5810606,-121.493895,Sacramento
134,38.6133731,-90.14629,East Saint Louis
135,27.4989278,-82.5748194,Bradenton
136,51.753051,-0.3379675,Saint Albans
137,40.1769782,-92.6161167,Adair (county)
138,32.2735792,-90.127881,Pearl
139,39.909726,-100.785153,Herndon
140,37.0525453,-86.2077608,Smiths Grove
141,41.6020962,-87.3370647,Gary
142,29.4246002,-98.4951405,San Antonio
143,36.9448133,-83.1176693,Totz
144,51.7520131,-1.2578499,Oxford
145,39.24666965,-76.65310059150586,Halethorpe (Lansdowne)
146,39.8454163,-88.9524151,Decatur
147,41.1253903,-87.848682,Kankakee
148,43.074761,-89.3837613,Madison
149,31.4649685,-100.4405094,San Angelo
150,37.4645557,-81.813726,Iaeger
151,44.0581728,-121.3153096,Bend
152,30.4943669,-92.4176324,Eunice
153,41.6096559,-93.7754644,Clive
154,32.5184775,-92.1476353,West Monroe
155,38.0464066,-84.4970393,Lexington
156,53.4794892,-2.2451148,Manchester
157,32.4284761,-90.1323087,Ridgeland
158,40.1003507,-79.5869835,Scottdale
159,34.7438754,-117.324492,Helendale
160,50.2144406,3.9615305,Beaufort
161,38.9582307,-122.626372,Clearlake
162,36.3828571,-84.1199251,La Follette (LaFollette)
163,39.7459468,-75.546589,Wilmington
164,40.7401299,-88.8847277,Mc Lean (Mclean)
165,31.3271189,-89.2903392,Hattiesburg
166,41.7639181,-88.5470219,Big Rock
167,51.745424,-2.2198605,Stroud
168,42.8867166,-78.8783922,Buffalo
169,39.0983482,-93.640771,Corder
170,37.9230723,-99.4098385,Kinsley
171,40.7469593,-73.8601456,Corona (Queens)
172,37.9839412,23.7283052,Athens
173,61.2163129,-149.894852,Anchorage
174,40.8012894,-72.8675941,Shirley
175,41.5623178,-72.6509061,Middletown
176,39.7683331,-86.1583502,Indianapolis
177,25.9420377,-80.2456045,Miami Gardens
178,47.0538,5.87948,Samson
179,34.15486,-117.34757115657216,San Bernardino (Muscoy)
180,39.6296809,-79.9559437,Morgantown
181,26.4614625,-80.0728201,Delray Beach
182,38.7566055,-90.42352,Bridgeton
183,28.553888,-81.4491744,Orlando (Pine Hills)
184,32.5156971,-95.4093998,Lindale
185,34.851354,-82.3984882,Greenville
186,44.9391565,-123.033121,Salem
187,33.7537774,-79.4475566,Hemingway
188,32.8406946,-83.6324022,Macon
189,41.083064,-81.518485,Akron
190,37.0300969,-76.3452057,Hampton
191,33.5714311,-102.3110415,Hockley
192,42.8142432,-73.9395687,Schenectady
193,42.4393707,-123.3272489,Grants Pass
194,41.5910323,-93.6046655,Des Moines
195,33.4709714,-81.9748429,Augusta
196,33.6956461,-78.8900409,Myrtle Beach
197,41.420034,-87.7417115,Monee
198,36.9775016,-76.42977,Newport News
199,46.8739081,-96.7538674,Moorhead
200,31.7819242,-95.6258199,Anderson
201,29.9427892,-89.9629372,Chalmette
202,42.2713945,-89.093966,Rockford
203,40.735657,-74.1723667,Newark
204,30.625503000000002,-89.14462979367059,Saucier
205,37.2508838,-92.5104447,Hartville
206,-34.9206797,-57.9537638,La Plata
207,39.0924792,-94.4137923,Independence
208,34.6183433,-79.0083993,Lumberton
209,32.5232053,-92.637927,Ruston
210,36.9289518,-93.9277149,Monett
211,32.6200973,-83.606568,Warner Robins
212,38.4404925,-122.7141049,Santa Rosa
213,44.985624,-92.9645794,Oakdale
214,30.5601953,-91.9540055,Port Barre
215,42.7337712,-84.5553805,Lansing
216,39.1670396,-86.5342881,Bloomington
217,42.3554334,-71.060511,Boston
218,32.5007031,-94.74049,Longview
219,51.5004439,-0.1265398,Westminster
220,29.3080254,-96.0074564,Wharton (Burr)
221,28.5421109,-81.3790304,Orlando
222,41.0787079,-73.4692873,Darien
223,39.83986,-86.0288823,Indianapolis (Lawrence)
224,28.3201553,-80.736647,Rockledge
225,53.9921491,-1.5391039,Harrogate
226,39.6733203,-94.794829,Buchanan
227,32.4709519,-100.405938,Sweetwater
228,45.8731634,-91.1468287,Sawyer
229,35.2072185,-101.833824,Amarillo
230,37.9373548,-79.2328102,Raphine
231,37.693952,-85.8591285,Elizabethtown
232,31.5790667,-90.4407122,Brookhaven
233,39.7589478,-84.1916069,Dayton
234,41.506424,-87.5917092,Chicago Heights (Ford Heights)
235,35.0717945,-81.6498195,Gaffney
236,34.0718195,-78.1914215,Brunswick
237,30.5335302,-92.081509,Opelousas
238,34.1348782,-79.9397885,Timmonsville
239,27.5236998,-99.497352,Laredo
240,41.6833813,-86.2500066,South Bend
241,49.3622169,6.1717729,La Place (Laplace)
242,38.4224548,27.1310699,Smyrna
243,33.2095614,-87.5675258,Tuscaloosa
244,29.7957633,-90.822871,Thibodaux
245,40.6822243,-112.0267177,Salt Lake City (West Valley City)
246,35.5848596,-80.8100724,Mooresville
247,38.86327445,-82.85753624578128,Minford
248,41.206668,-91.2683976,Louisa
249,37.270973,-79.9414313,Roanoke
250,42.2729262,-83.1352891,River Rouge
251,25.495997000000003,-80.4342540555625,Homestead (Florida City)
252,33.1828974,-97.2872403,Ponder
253,44.993049049999996,-93.27308605947883,Minneapolis (Plymouth)
254,32.9029017,-96.56388,Rowlett
255,41.6397857,-87.4548466,East Chicago
256,47.9078244,-97.0592028,Grand Forks
257,29.1589961,-98.1251465,Wilson
258,53.9590555,-1.0815361,York
259,33.1580933,-117.3505966,Carlsbad
260,34.1469416,-118.2478471,Glendale
261,39.050746,-96.24433,Mc Farland (Mcfarland)
262,41.5263603,-88.0840212,Joliet
263,41.239223,-81.345941,Streetsboro
264,29.1871986,-82.1400923,Ocala
265,32.7481864,-98.0092093,Millsap
266,33.894927,-118.226624,Compton
267,36.9647458,-89.0893387,Wickliffe
268,35.6009498,-82.5540161,Asheville
269,41.0799898,-85.1386015,Fort Wayne
270,33.81534335,-118.39047031225559,Hollywood (Miramar)
271,33.0186699,-80.1762704,Summerville
272,38.9742502,-94.6851702,Overland Park
273,35.4515504,-77.6810859,Snow Hill
274,32.7174202,-117.1627728,San Diego
275,35.7803977,-78.6390989,Raleigh
276,33.9204504,-78.9578973,Horry (county)
277,39.36909865,-76.79584212721417,Randallstown
278,71.2905556,-156.788611,Barrow (Utqiagvik)
279,38.9957749,-85.6359201,Jennings
280,44.4761601,-73.212906,Burlington
281,53.7435722,-0.3394758,Hull
282,41.8119602,-79.2654452,Warren
283,36.6915262,-79.8725386,Martinsville
284,33.4198886,-94.4479626,Bowie
285,37.08114525,22.42486178272022,Sparta
286,39.4562528,-77.9639604,Martinsburg
287,38.0171441,-122.2885808,Hercules
288,33.3267128,-83.388485,Eatonton
289,32.250398,-101.4787356,Big Spring
290,40.6526006,-73.9497211,Brooklyn
291,47.0979462,-122.4243422,Spanaway
292,32.8042966,-91.170109,Lake Providence
293,37.3034933,-89.5230357,Cape Girardeau
294,36.6467816,-92.4575198,Ozark
295,36.0625843,-94.1574328,Fayetteville
296,32.4078632,-87.0207473,Selma
297,38.9719384,-95.2359496,Lawrence
298,33.7123305,-84.1051939,Lithonia
299,34.1652304,-84.7997613,Cartersville
300,30.234925,-92.2684617,Rayne
301,41.2640523,-92.2491537,Hayesville
302,37.02328,-107.42349232352942,Arboles
303,34.7740495,-79.4628248,Laurinburg
304,32.9573449,-95.2902224,Winnsboro
305,29.6519684,-82.3249846,Gainesville
306,43.1268715,0.3513345,Lagrange
307,34.3076252,-118.4492148,Sylmar
308,40.2203907,-74.0120817,Asbury Park
309,34.5041714,-98.2214239,Hulen
310,43.5944677,-83.8888648,Bay City
311,40.6849851,-92.6772505,Moulton
312,32.8546197,-79.9748103,North Charleston
313,25.9140277,-97.4890879,Brownsville
314,38.3397205,-90.40674247584822,Barnhart
315,33.3967079,-86.1597137,Talladega
316,37.5111596,-94.8380215,Girard
317,32.397251350000005,-96.16790108665323,Mabank
318,34.4014089,-79.3864339,Dillon
319,28.6689748,-82.076402,Sumter
320,36.7568327,-90.3957115,Poplar Bluff
321,39.1698022,-119.7575628,Carson City
322,29.396013,-94.9175485,Texas City
323,30.7743596,-85.2268735,Marianna
324,39.0187651,-94.1976452,Grain Valley
325,40.4556825,-109.528474,Vernal
326,32.2021071,-83.9085132,Byromville
327,41.4673238,-82.1781904,Lorain
328,40.4523494,-79.8988438,Pittsburgh (Homewood)
329,32.050618,-84.5473105,Webster
330,39.7990175,-89.6439575,Springfield
331,29.675568,-82.3640109,Alachua
332,32.4375833,-92.0911988,Monroe (Richwood)
333,35.7826363,-80.8872959,Statesville
334,29.299328,-94.7945882,Galveston
335,34.010929,-85.9989596,Gadsden
336,34.3916641,-118.542586,Santa Clarita
337,33.9866807,-118.185349,Maywood
338,40.6548566,-76.1007318,Orwigsburg
339,33.4017766,-86.954437,Bessemer
340,32.0287769,-94.3710335,Gary (Gary City)
341,30.0443879,31.2357257,Cairo
342,32.1840315,-86.5802533,Hayneville
343,43.1301133,-77.4759588,Penfield
344,38.7296252,-120.798546,Placerville
345,49.2206407,1.0116837,Mandeville
346,41.5824086,-85.834366,Goshen
347,40.5834557,-74.1496048,Staten Island
348,31.3219212,-97.2390509,Bruceville (Bruceville Eddy)
349,32.2228765,-110.9748477,Tucson
350,40.9312099,-73.8987469,Yonkers
351,33.9533546,-117.3961623,Riverside
352,32.9359886,-82.8115273,Tennille
353,37.082981,-83.3750732,Leslie
354,30.2711286,-97.7436995,Austin
355,40.7681926,-73.5238207,Hicksville
356,48.4048867,2.7207225,Avon
357,26.2159066,-98.3252932,Mission
358,37.176059949999996,-3.5881102773279347,Alhambra
359,32.6098566,-85.4807825,Auburn
360,30.4007626,-88.8893818,Biloxi
361,34.0159398,-118.111975,Montebello
362,49.3780921,2.4141907,Kalama
363,55.9533456,-3.1883749,Edinburg
364,31.5869828,-106.266011,San Elizario
365,47.1057471,-120.5849305,Kittitas
366,31.9973662,-102.077948,Midland
367,36.533767,-82.33343531171823,Blountville
368,37.3024713,-78.3923813,Farmville
369,40.7474784,-92.3965311,Davis
370,40.2981599,-111.6944313,Orem
371,37.3361663,-121.890591,San Jose
372,29.3685674,-94.9713134,La Marque
373,38.4912207,-77.9618216,Culpeper
374,50.3712659,-4.1425658,Plymouth
375,40.121497,-75.3399048,Norristown
376,37.1162505,-107.63395275620002,Ignacio
377,33.9278514,-84.2407601,Atlanta (Doraville)
378,39.049011,-95.677556,Topeka
379,47.6571934,-117.42351,Spokane
380,51.6281547,-0.123596,Southgate
381,30.0860459,-94.1018461,Beaumont
382,46.4843023,30.7322878,Odessa
383,26.715364,-80.0532942,West Palm Beach
384,34.2006552,-118.536528,Reseda
385,41.7571701,-88.3147539,Aurora
386,43.157285,-77.615214,Rochester
387,35.3738712,-119.0194639,Bakersfield
388,45.5202471,-122.674194,Portland
389,30.4115881,-88.5344601,Moss Point
390,26.1702082,-98.0522376,Donna
391,30.7387998,-88.0788889,Mobile (Prichard)
392,32.7678288,-117.0230839,La Mesa
393,33.2002659,-95.2231752,Franklin
394,45.1363343,-94.7810199,Atwater
395,38.2770227,-85.7371604,Jeffersonville
396,40.6938609,-89.5891008,Peoria
397,38.2083483,-85.6587646,Bon Air
398,43.8020626,-83.0004744,Bad Axe
399,40.7596198,-111.886797,Salt Lake City
400,36.3548586,-79.6644748,Reidsville
401,43.2341813,-86.2483921,Muskegon
402,43.1121115,-91.6764623,Castalia
403,40.9864261,-75.1946649,Stroudsburg
404,39.8208998,-84.0193858,Fairborn
405,40.266429,-96.747369,Beatrice
406,42.1167065,-86.4541894,Benton Harbor
407,33.44667445,-94.07714830522015,Texarkana
408,39.4409277,-78.9739156,Keyser
409,34.09751,-117.6483876,Upland
410,42.451377,-83.659179,South Lyon
411,26.2211936,-80.1331003,Pompano Beach (North Lauderdale)
412,39.7881233,-86.2407144,Speedway
413,30.8471283,-90.153141,Franklinton
414,45.3011519,-72.3152965,Eastman
415,43.4818472,-111.9817852,Idaho Falls (Ammon)
416,43.5488256,-96.7307737,Sioux Falls
417,43.6008183,-116.24210864118032,Boise
418,37.0833893,-88.6000478,Paducah
419,34.8256204,-87.2945325,Rogersville
420,40.4416941,-79.9900861,Pittsburg
421,27.9566843,-97.9369447,Orange Grove
422,33.2000368,-117.2425355,Vista
423,26.0616304,-80.1656848,Fort Lauderdale (Dania Beach)
424,46.7729322,-92.1251218,Duluth
425,38.0288806,-86.9976446,Spencer
426,57.5066357,-5.0038367,Highland
427,34.8253019,-116.0833144,San Bernardino
428,45.0536135,-93.23400757236823,Minneapolis (Columbia Heights)
429,28.6122187,-80.8075538,Titusville
430,38.7403281,-90.2265001,Saint Louis (Bellefontaine Neighbors)
431,30.421309,-87.2169149,Pensacola
432,40.1303822,-75.5149128,Phoenixville
433,38.7011626,-90.3623381,Saint Louis (Overland)
434,42.4250964,-71.066163,Malden
435,41.7809588,-71.4371257,Cranston
436,31.2437872,-90.4531536,Mccomb
437,32.555664,-95.8640507,Canton
438,33.2115087,-92.6650144,El Dorado
439,30.0031884,-92.2860146,Kaplan
440,51.5073359,-0.12765,London
441,33.7475203,-116.9719684,Hemet
442,41.4990844,-90.31793495354934,Cleveland (Cleveland Heights)
443,36.0885321,-115.037213,Whitney
444,34.8723179,-89.6906396,Byhalia
445,41.2587459,-95.9383758,Omaha
446,45.423557,-91.8454099,Barron
447,43.2055521,-77.69339633877158,Rochester (Greece)
448,42.291707,-85.5872286,Kalamazoo
449,39.7392364,-104.984862,Denver
450,34.4263886,-117.3008784,Hesperia
451,46.7217279,-92.4613669,Cloquet
452,40.1164841,-88.2430932,Champaign
453,42.0834335,-71.0183787,Brockton
454,37.4137536,-79.1422464,Lynchburg
455,42.2071434,-72.60765,Holyoke
456,32.5973857,-82.3337376,Swainsboro (Dellwood)
457,44.8277446,-92.9438218,Cottage Grove
458,38.8139804,-76.7575894,Upper Marlboro
459,28.01633,-82.1234803,Plant City
460,46.730958,-120.699516,Naches
461,21.4055,-157.7960716072044,Kaneohe
462,38.7135498,-77.795367,Warrenton
463,46.35270835,4.577608667704116,Brandon
464,39.7085736,-105.0846694,Lakewood
465,32.3643098,-88.703656,Meridian
466,29.8835055,-90.11844862641495,Marrero
467,36.4195491,-82.3040262,Piney Flats
468,48.8534951,2.3483915,Paris
469,42.4733689,-83.2218731,Southfield
470,52.5135785,-3.314371,Newtown
471,39.0836224,-84.508371,Covington
472,32.9790425,-82.6079095,Davisboro
473,33.9412127,-84.2135309,Norcross
474,29.550098,-98.37945,San Antonio (Live Oak)
475,41.616016,-87.5295837,Calumet City
476,33.3062031,-111.8411851,Chandler
477,39.385227,-76.70804563060791,Pikesville
478,43.104228,-77.884454,Churchville
479,34.0980031,-118.329523,Hollywood
480,45.7874957,-108.49607,Billings
481,38.029306,-78.4766781,Charlottesville
482,41.1670412,-73.2048348,Bridgeport
483,38.190722699999995,-85.55536499537197,Louisville (Jeffersontown)
484,34.5623077,-85.8124715,Sylvania
485,43.4887907,-112.03628,Idaho Falls
486,38.3394806,-103.8263042,Crowley
487,42.498275,-92.3328743,Waterloo
488,35.9603948,-83.9210261,Knoxville
489,46.4195913,-117.0216144,Lewiston
490,29.8988618,-93.9288723,Port Arthur
491,46.5644311,-100.0909421,Braddock
492,35.7079146,-79.8136446,Asheboro
493,31.1171441,-97.727796,Killeen
494,35.9423833,-77.7956949,Rocky Mount
495,33.7500378,-117.8704931,Orange
496,38.9778882,-77.0074765,Takoma Park
497,45.7319605,10.3896484,Molino
498,45.0430227,-121.2154207,Wasco
499,32.831563,-96.80077329849314,Highland Park
500,30.0798826,-95.4172549,Spring
501,33.560832,-117.2106564,Murrieta
502,38.965365000000006,-76.84179265424164,Lanham
503,33.1474257,-101.812592,Lynn
504,47.1284494,-117.242908,Oakesdale
505,52.666667,1.0,Norfolk
506,38.5399754,-82.7283275,Raceland
507,40.8428759,-73.2928943,Commack
508,31.4714828,-110.9764769,Rio Rico
509,37.6581725,-81.0956508,Cool Ridge
510,34.51802,-93.0529422,Hot Springs National Park (Hot Springs)
511,33.1838787,-97.1413417,Denton
512,38.2722313,-90.1792484,Monroe
513,41.1990446,-111.9724473,Ogden (Riverdale)
514,47.4785418,-94.8907869,Bemidji
515,41.9968696,-91.8619127,Atkins
516,32.4709761,-85.0007653,Phenix City
517,51.1251275,1.3134228,Dover
518,41.9281305,-72.643631,Windsor Locks
519,38.7877405,-90.2150513,Saint Louis (Spanish Lake)
520,50.533333,-103.666667,Indian Head
521,30.1654707,-81.7016346,Orange Park
522,38.97776585,-76.31893928440874,Stevensville
523,48.1465457,-103.621814,Williston
524,30.3118769,-95.4560512,Conroe
525,36.3274502,-119.6456844,Hanford
526,40.5863563,-122.391675,Redding
527,29.2108147,-81.0228331,Daytona Beach
528,34.0562812,-78.8903044,Loris
529,38.635359,-90.23184326838913,Saint Louis (University City)
530,35.0841034,-106.650985,Albuquerque
531,42.5876342,-72.6002068,Greenfield
532,43.4200387,-83.9490365,Saginaw
533,33.937517,-117.2305944,Moreno Valley
534,34.5361067,-117.2911565,Victorville
535,37.81623435,-121.22178815385232,Manteca
536,34.8884971,-79.0722541,Lumber Bridge
537,40.924271,-98.338685,Grand Island
538,41.7195109,-84.2173964,Morenci
539,26.6091509,-81.652407,Lehigh Acres
540,28.0394654,-81.9498042,Lakeland
541,41.2753164,-86.6457565,Starke
542,39.6430455,-77.7191081,Hagerstown
543,41.5538091,-73.0438362,Waterbury
544,26.1223084,-80.1433786,Fort Lauderdale
545,25.8900949,-80.1867138,Miami (North Miami)
546,46.173849,-95.915609,Dalton
547,27.9946969,-80.6366144,Palm Bay
548,44.0806041,-103.2280239,Rapid City
549,45.6754622,6.3925417,Albertville
550,43.7698712,11.2555757,Florence
551,30.3054847,-97.3864472,Bastrop (Perryville)
552,36.2516475,-118.852583,Tulare
553,37.3681764,-80.8642459,Glen Lyn
554,41.4197915,-81.8238184,Brookpark (Brook Park)
555,41.000028,19.9999619,Albany
556,40.4110465,-79.9793123,Pittsburgh (Mount Oliver)
557,40.4852783,-78.7248434,Ebensburg
558,40.4864444,-86.1336351,Kokomo
559,32.9537349,-96.8902816,Carrollton
560,37.7742152,-87.1133304,Owensboro
561,37.3893889,-122.0832101,Mountain View
562,42.2942045,-83.3099303,Inkster
563,44.9497487,-93.0931028,Saint Paul
564,40.7259621,-73.5144766,Levittown
565,33.9708782,-118.030839,Whittier
566,44.4304893,-71.6536936,Whitefield (Dalton)
567,42.0602077,-91.4433793,Springville
568,52.2319581,21.0067249,Warsaw
569,6.328034,-10.797788,Monrovia
570,27.5214269,-82.5723193,Palmetto
571,33.5723191,-81.6182086,Aiken
572,47.4234599,-120.310349,Wenatchee
573,29.9899926,-90.1505426,Metairie
574,32.4146577,-82.0930776,Candler
575,43.1009031,-75.2326641,Utica
576,33.8062166,-84.1457505,Stone Mountain
577,0.19541795,-176.47793588059142,Baker
578,43.1700264,-107.568534,Wyoming
579,41.9758872,-91.6704053,Cedar Rapids
580,32.7355816,-97.1071186,Arlington
581,36.8657651,-87.4889532,Hopkinsville
582,52.2609997,-7.1119081,Waterford
583,38.68172335,-77.30200947318156,Woodbridge (Lake Ridge)
584,37.7781702,-81.1881557,Beckley
585,50.8036831,-1.075614,Portsmouth
586,35.6630196,-95.3927706,Muskogee
587,49.2608724,-123.113952,Vancouver
588,29.6480061,-97.8279576,Guadalupe
589,40.7587979,-73.9623427,New York (Manhattan)
590,-36.85445635,174.7683314012681,Saint Pauls
591,41.6174123,-94.0185176,Adel
592,33.8347516,-117.911732,Anaheim
593,33.5634402,-101.8792389,Lubbock
594,26.5806024,-80.05125,Lake Worth (Lantana)
595,41.5833658,-87.500043,Hammond
596,40.9167654,-74.171811,Paterson
597,30.4935229,-91.1403842,North Highlands
598,38.8051095,-77.0470229,Alexandria
599,33.6949319,-93.6929825,Hempstead
600,32.9857275,-80.1098123,Ladson
601,31.5970503,-94.5927451,Nacogdoches
602,52.15083905,-0.47550779625439576,Bedford (Bedford Heights)
603,34.9498007,-81.9320157,Spartanburg
604,30.4057552,-86.618842,Fort Walton Beach
605,27.7703796,-82.6695085,Saint Petersburg
606,25.8195424,-80.3553302,Miami (Doral)
607,35.2622654,-81.1838186,Gastonia
608,37.5780995,-105.7890452,Alamosa
609,38.719184,-90.2611199,Saint Louis (Jennings)
610,44.4478474,-92.2678663,Lake City
611,30.0856736,-94.7856262,Liberty (county)
612,34.7851861,-84.7352262,Murray
613,34.9704419,-78.9453056,Hope Mills
614,36.1623886,-85.4997057,Cookeville
615,40.03813,-76.3056686,Lancaster
616,37.1895318,-84.1177098,East Bernstadt
617,32.8048507,-97.44502,Lake Worth
618,52.4792083,-2.256466,Enville
619,35.7234734,-79.4622431,Siler City
620,34.5019651,-84.8986308,Gordon
621,38.6914606,-84.3689142,Pendleton
622,33.4151005,-111.831455,Mesa
623,38.7761446,-90.3715909,Hazelwood
624,28.6619154,-81.3885899,Altamonte Springs
625,31.3386242,-94.7288558,Lufkin
626,27.7635302,-97.4033191,Corpus Christi
627,29.9988312,-95.2621553,Humble
628,43.9705262,-89.816793,Friendship
629,36.7413624,-88.6352595,Mayfield
630,42.1864809,-98.0716943,Antelope
631,30.0035365,-91.8187285,New Iberia
632,33.9381923,-118.3482712,Inglewood (Lennox)
633,36.9486986,-84.0968761,Corbin
634,44.0308542,-84.4675116,Wagarville
635,40.4872625,-85.6130311,Gas City
636,29.9892816,-97.877174,Kyle
637,32.3140354,-106.779807,Las Cruces
638,38.3386591,-87.3450132,Oakland City
639,42.2888675,-93.7960553,Stanhope
640,38.4375391,-108.2403855,Montrose
641,46.5927425,-112.036277,Helena
642,54.31536155,-1.9180234948012402,Albion
643,37.496904,-122.3330573,San Mateo
644,39.7886111,-82.6418883,Fairfield
645,35.4729886,-97.5170536,Oklahoma City
646,30.155216,-95.2113221,New Caney
647,41.6012796,-85.8590603,Elkhart
648,34.4436167,-116.9455239,Lucerne Valley
649,38.7145481,-94.4611204,Peculiar
650,-29.6860512,-53.8069214,Santa Maria
651,36.7281652,-91.8525756,West Plains
652,40.4233142,-104.7091322,Greeley
653,41.1175966,-73.4078968,Norwalk
654,35.9910962,-106.0808358,Espanola
655,28.0569975,-82.280569614401,Thonotosassa
656,27.3923408,-80.8873655,Okeechobee
657,38.9529442,-76.9408647,Hyattsville
